# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
96            	smoothSolver	4.550440e-03	3.625630e-04	2	1.404830e-02	1.041990e-03	2	false	GAMG	1.909990e-01	6.168250e-03	4	true
97            	smoothSolver	4.532980e-03	3.615430e-04	2	1.400510e-02	1.035890e-03	2	false	GAMG	1.956720e-01	6.473820e-03	4	true
98            	smoothSolver	4.507750e-03	3.594510e-04	2	1.393750e-02	1.033960e-03	2	false	GAMG	1.904320e-01	6.257310e-03	4	true
99            	smoothSolver	4.490460e-03	3.581720e-04	2	1.389020e-02	1.029020e-03	2	false	GAMG	1.557260e-01	5.130070e-03	4	true
100           	smoothSolver	4.470020e-03	3.561500e-04	2	1.383330e-02	1.026960e-03	2	false	GAMG	2.017330e-01	6.438850e-03	4	true
101           	smoothSolver	4.451080e-03	3.547060e-04	2	1.378870e-02	1.022170e-03	2	false	GAMG	2.088600e-01	6.953340e-03	4	true
102           	smoothSolver	4.431930e-03	3.536070e-04	2	1.373910e-02	1.021020e-03	2	false	GAMG	2.120900e-01	7.208180e-03	4	true
103           	smoothSolver	4.414380e-03	3.512990e-04	2	1.369600e-02	1.014700e-03	2	false	GAMG	2.100530e-01	7.193720e-03	4	true
104           	smoothSolver	4.393870e-03	3.498590e-04	2	1.365070e-02	1.014650e-03	2	false	GAMG	2.085900e-01	7.040120e-03	4	true
105           	smoothSolver	4.376730e-03	3.480270e-04	2	1.359460e-02	1.008860e-03	2	false	GAMG	2.073480e-01	6.938090e-03	4	true
106           	smoothSolver	4.356970e-03	3.469250e-04	2	1.353920e-02	1.007770e-03	2	false	GAMG	2.160350e-01	6.869390e-03	4	true
107           	smoothSolver	4.340080e-03	3.447550e-04	2	1.348130e-02	9.985350e-04	2	false	GAMG	2.068970e-01	7.236540e-03	4	true
108           	smoothSolver	4.322070e-03	3.441720e-04	2	1.342280e-02	1.000040e-03	2	false	GAMG	2.059000e-01	7.272760e-03	4	true
109           	smoothSolver	4.304170e-03	3.418070e-04	2	1.337670e-02	9.908240e-04	2	false	GAMG	2.063470e-01	7.465470e-03	4	true
110           	smoothSolver	4.288330e-03	3.417930e-04	2	1.331920e-02	9.940000e-04	2	false	GAMG	2.044850e-01	7.272280e-03	4	true
111           	smoothSolver	4.269830e-03	3.394750e-04	2	1.327470e-02	9.848290e-04	2	false	GAMG	2.084650e-01	7.459120e-03	4	true
112           	smoothSolver	4.255070e-03	3.382960e-04	2	1.321840e-02	9.853440e-04	2	false	GAMG	2.134580e-01	7.726320e-03	4	true
113           	smoothSolver	4.239610e-03	3.374350e-04	2	1.318990e-02	9.794200e-04	2	false	GAMG	2.175640e-01	7.822900e-03	4	true
114           	smoothSolver	4.220660e-03	3.356470e-04	2	1.312620e-02	9.765570e-04	2	false	GAMG	2.220950e-01	7.821700e-03	4	true
115           	smoothSolver	4.209500e-03	3.352360e-04	2	1.309560e-02	9.732530e-04	2	false	GAMG	2.247750e-01	7.831010e-03	4	true
116           	smoothSolver	4.194660e-03	3.338240e-04	2	1.306280e-02	9.714890e-04	2	false	GAMG	2.251540e-01	8.052040e-03	4	true
117           	smoothSolver	4.178140e-03	3.319930e-04	2	1.299260e-02	9.668340e-04	2	false	GAMG	2.272630e-01	8.142360e-03	4	true
118           	smoothSolver	4.164850e-03	3.310740e-04	2	1.296770e-02	9.655320e-04	2	false	GAMG	2.252450e-01	8.072170e-03	4	true
119           	smoothSolver	4.150380e-03	3.293590e-04	2	1.289960e-02	9.594820e-04	2	false	GAMG	2.225500e-01	8.193540e-03	4	true
120           	smoothSolver	4.136550e-03	3.284000e-04	2	1.287210e-02	9.595140e-04	2	false	GAMG	2.238100e-01	8.157520e-03	4	true
121           	smoothSolver	4.117660e-03	3.267320e-04	2	1.281210e-02	9.532850e-04	2	false	GAMG	2.207220e-01	7.965890e-03	4	true
122           	smoothSolver	4.107030e-03	3.254100e-04	2	1.275930e-02	9.529360e-04	2	false	GAMG	2.210560e-01	7.915060e-03	4	true
123           	smoothSolver	4.093950e-03	3.245170e-04	2	1.272750e-02	9.482770e-04	2	false	GAMG	2.209380e-01	7.954940e-03	4	true
124           	smoothSolver	4.081850e-03	3.226220e-04	2	1.268340e-02	9.478960e-04	2	false	GAMG	2.207150e-01	7.854010e-03	4	true
125           	smoothSolver	4.064110e-03	3.216320e-04	2	1.263820e-02	9.452710e-04	2	false	GAMG	2.204010e-01	7.661720e-03	4	true
126           	smoothSolver	4.049250e-03	3.203530e-04	2	1.261330e-02	9.437700e-04	2	false	GAMG	2.167960e-01	7.501370e-03	4	true
127           	smoothSolver	4.033660e-03	3.188520e-04	2	1.255840e-02	9.422240e-04	2	false	GAMG	2.145410e-01	7.402100e-03	4	true
128           	smoothSolver	4.020320e-03	3.179830e-04	2	1.253610e-02	9.390120e-04	2	false	GAMG	2.110240e-01	7.260340e-03	4	true
129           	smoothSolver	4.008630e-03	3.162150e-04	2	1.248540e-02	9.367600e-04	2	false	GAMG	2.072930e-01	7.076950e-03	4	true
130           	smoothSolver	3.992630e-03	3.155200e-04	2	1.244160e-02	9.349050e-04	2	false	GAMG	2.053670e-01	7.116950e-03	4	true
131           	smoothSolver	3.977860e-03	3.142300e-04	2	1.241030e-02	9.319520e-04	2	false	GAMG	2.086460e-01	7.032170e-03	4	true
132           	smoothSolver	3.966680e-03	3.130710e-04	2	1.237790e-02	9.314780e-04	2	false	GAMG	1.958510e-01	7.039380e-03	4	true
133           	smoothSolver	3.948650e-03	3.111330e-04	2	1.233740e-02	9.276020e-04	2	false	GAMG	1.929990e-01	6.940010e-03	4	true
134           	smoothSolver	3.933480e-03	3.095570e-04	2	1.230260e-02	9.260070e-04	2	false	GAMG	1.891520e-01	7.112940e-03	4	true
135           	smoothSolver	3.915160e-03	3.085170e-04	2	1.225970e-02	9.250530e-04	2	false	GAMG	1.911470e-01	7.391850e-03	4	true
