,deg,rad,X,Y,Z,,,,X,Y,Z,,,,X,Y,Z,
73,131.4,2.2933626345,0.830655931678974,-0.034159371609743,0,,,(,0.315937723023497,-0.089939905465424,0,),,(,0.315937723023497,-0.089939905465424,0.3,)
72,129.6,2.261946708,0.818711993878591,-0.036202883190156,0,,,(,0.330631039218729,-0.089717760963095,0,),,(,0.330631039218729,-0.089717760963095,0.3,)
71,127.8,2.2305307815,0.806453525819533,-0.038270399265005,0,,,(,0.345491502129707,-0.089362075167373,0,),,(,0.345491502129707,-0.089362075167373,0.3,)
70,126,2.199114855,0.793892625129765,-0.040357748525342,0,,,(,0.360504446273698,-0.088876625461562,0,),,(,0.360504446273698,-0.088876625461562,0.3,)
69,124.2,2.1676989285,0.781041687901743,-0.04246072871545,0,,,(,0.3756550556874,-0.088265475985922,0,),,(,0.3756550556874,-0.088265475985922,0.3,)
68,122.4,2.136283002,0.767913396458971,-0.044575102741237,0,,,(,0.390928378548511,-0.087532948919055,0,),,(,0.390928378548511,-0.087532948919055,0.3,)
67,120.6,2.1048670755,0.754520706840074,-0.046696593887754,0,,,(,0.406309341931372,-0.086683595113061,0,),,(,0.406309341931372,-0.086683595113061,0.3,)
66,118.8,2.073451149,0.740876836012757,-0.04882088036435,0,,,(,0.421782766682125,-0.085722164476528,0,),,(,0.421782766682125,-0.085722164476528,0.3,)
65,117,2.0420352225,0.726995248830251,-0.050943589415272,0,,,(,0.437333382398706,-0.08465357648793,0,),,(,0.437333382398706,-0.08465357648793,0.3,)
64,115.2,2.010619296,0.712889644743131,-0.053060291248693,0,,,(,0.452945842500885,-0.083482891205147,0,),,(,0.452945842500885,-0.083482891205147,0.3,)
63,113.4,1.9792033695,0.698573944279607,-0.055166493047933,0,,,(,0.468604739375493,-0.082215281114904,0,),,(,0.468604739375493,-0.082215281114904,0.3,)
62,111.6,1.947787443,0.68406227530765,-0.057257633334668,0,,,(,0.48429461958187,-0.080856004139285,0,),,(,0.48429461958187,-0.080856004139285,0.3,)
61,109.8,1.9163715165,0.669368959092487,-0.059329076955194,0,,,(,0.499999999102552,-0.079410378085816,0,),,(,0.499999999102552,-0.079410378085816,0.3,)
60,108,1.88495559,0.654508496163245,-0.061376110957014,0,,,(,0.515705378624118,-0.077883756793239,0,),,(,0.515705378624118,-0.077883756793239,0.3,)
59,106.2,1.8535396635,0.639495552002674,-0.063393941614353,0,,,(,0.531395258833152,-0.076281508187825,0,),,(,0.531395258833152,-0.076281508187825,0.3,)
58,104.4,1.822123737,0.624344942574093,-0.065377692847554,0,,,(,0.547054155712184,-0.074608994425404,0,),,(,0.547054155712184,-0.074608994425404,0.3,)
